,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Pallets Solicitados,Cajas Solicitadas
89,SD,175947,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",246477,0.01875,3.0
90,SD,175947,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",246477,2.5,150.0
91,SD,175947,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",246477,11.0,792.0
92,SD,175947,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",246477,0.069444,5.0
93,SD,175947,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",246477,0.142857,32.0
94,SD,175947,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",246477,0.071429,16.0
95,SD,175947,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",246477,0.5,112.0
96,SD,175947,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",246477,0.285714,64.0
97,SD,175952,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",330329,3.833333,230.0
98,SD,175952,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",330329,1.902778,137.0
99,SD,175952,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",330329,0.044643,10.0
100,SD,175952,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",330329,0.058036,13.0
101,SD,175952,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",330329,0.160714,36.0
102,SD,175952,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",330329,0.071429,16.0
103,SD,175953,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",223397,1.904762,200.0
104,SD,175953,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",223397,3.333333,200.0
105,SD,175953,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",223397,2.777778,200.0
106,SD,175953,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",223397,0.285714,64.0
107,SD,175953,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",223397,3.571429,800.0
108,SD,175954,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",274855,24.0,1440.0
109,SD,175955,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",274855,24.0,1440.0
110,SD,175956,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",274855,24.0,1440.0
111,SD,175957,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,18.0,1080.0
112,SD,175958,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
113,SD,175959,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
114,SD,175960,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
115,SD,175961,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
116,SD,175962,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
117,SD,175963,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
118,SD,175964,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",223397,26.0,1560.0
119,SD,175965,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",223397,28.0,2016.0
120,SD,175966,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",223397,28.0,2016.0
121,SD,175967,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",223397,28.0,2016.0
122,SD,175968,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",223397,28.0,2016.0
123,SD,175969,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",223397,26.888889,1936.0
124,SD,175970,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",228827,4.0,240.0
125,SD,175970,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",228827,5.0,360.0
126,SD,175970,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",228827,3.0,180.0
127,SD,175970,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",228827,3.0,150.0
128,SD,175973,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",200561,2.0,144.0
129,SD,175974,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",242156,17.0,1224.0
130,SD,175974,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",242156,3.933333,236.0
131,SD,661181,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,0.076923,20.0
132,SD,661181,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",363993,0.25,68.0
133,SD,661182,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,0.076923,20.0
134,SD,662182,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",363993,0.230769,60.0
135,SD,662182,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",363993,0.153846,40.0
136,SD,662183,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",363993,0.166667,18.0
137,SD,662183,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",363993,0.125,18.0
138,SD,662183,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",363993,2.0,520.0
139,SD,662183,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",363993,2.0,288.0
140,SD,662183,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",363993,1.0,108.0
141,SD,662759,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",363993,0.230769,60.0
142,SD,662759,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",363993,0.125,34.0
143,SD,662759,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",363993,0.076923,29.0
144,SD,662759,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",363993,5.0,1360.0
145,SD,662759,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",363993,1.0,80.0
146,SD,662759,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",363993,0.076923,20.0
147,SD,662893,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",225596,0.076923,20.0
148,SD,662947,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",363993,2.0,216.0
149,SD,663288,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",225661,0.576923,150.0
150,SD,663289,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",338810,0.125,34.0
151,SD,663298,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",241153,0.553846,144.0
152,SD,663298,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",241153,0.307692,80.0
153,SD,663298,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",241153,0.45,117.0
154,SD,663322,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",357270,0.076923,20.0
155,SD,663322,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",357270,1.0,144.0
156,SD,663349,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",255871,0.694444,100.0
157,SD,663376,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",361409,0.034722,5.0
158,SD,663412,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",242156,0.166667,24.0
159,SD,663427,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",228827,0.125,34.0
160,SD,663427,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",228827,5.0,1300.0
161,SD,663427,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",228827,6.0,1632.0
162,SD,663427,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",228827,0.230769,60.0
163,SD,663427,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",228827,0.013889,2.0
164,SD,663427,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",228827,0.030769,8.0
