,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
212,228827,SD,175711,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",360.0,5.0
213,228827,SD,175711,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",200.0,4.0
214,228827,SD,175970,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",240.0,4.0
215,228827,SD,175970,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",360.0,5.0
216,228827,SD,175970,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",180.0,3.0
217,228827,SD,175970,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",150.0,3.0
218,228827,SD,663427,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",34.0,0.125
219,228827,SD,663427,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1300.0,5.0
220,228827,SD,663427,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",1632.0,6.0
221,228827,SD,663427,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",60.0,0.230769
222,228827,SD,663427,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",2.0,0.013889
223,228827,SD,663427,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",8.0,0.030769
224,228827,SD,663898,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",61.0,0.234615
225,228827,SD,663898,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",3.0,0.020833
226,228827,SD,663898,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",20.0,0.076923
227,228827,SD,663898,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",34.0,0.125
228,228827,SD,663898,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",240.0,0.923077
229,228827,SD,663898,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",144.0,1.0
230,228827,SD,663898,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",680.0,2.5
231,228827,SD,663898,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",112.0,1.4
232,228827,SD,663898,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",71.0,0.273077
233,228827,SD,663898,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",3.0,0.020833
234,228827,SD,663898,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",8.0,0.030769
235,228827,SD,663898,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",2.0,0.025
236,251874,SD,175768,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",600.0,10.0
237,251874,SD,175768,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",720.0,10.0
238,333618,SD,175985,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",305.0,5.083333
239,333618,SD,175985,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",428.0,5.944444
240,333618,SD,175985,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",65.0,1.083333
241,333618,SD,175985,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",200.0,4.0
242,333618,SD,175985,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",200.0,0.892857
243,232173,SD,663944,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",500.0,3.472222
244,232173,SD,663944,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",402.0,1.546154
