,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
281,SD,663665,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",228809,44.0,0.169231
282,SD,663665,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",228809,130.0,0.902778
283,SD,663665,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",228809,360.0,1.384615
284,SD,663665,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",228809,18.0,0.125
285,SD,663665,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",228809,680.0,2.5
286,SD,663665,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",228809,36.0,0.333333
287,SD,663665,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",228809,100.0,0.384615
288,SD,663665,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",228809,10.0,0.069444
289,SD,663665,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",228809,39.0,0.143382
290,SD,663666,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",240058,2.0,0.007692
291,SD,663666,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",240058,906.0,2.403183
292,SD,663666,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",240058,60.0,0.75
293,SD,663666,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",240058,34.0,0.125
294,SD,663666,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",240058,120.0,1.5
295,SD,663666,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",240058,29.0,0.3625
296,SD,663678,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",319981,18.0,0.125
297,SD,663685,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",322787,29.0,0.076923
298,SD,663686,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",322787,8.0,0.1
299,SD,663687,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",306443,14.0,0.053846
300,SD,663687,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",306443,14.0,0.053846
301,SD,663687,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",306443,15.0,0.104167
302,SD,663687,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",306443,7.0,0.025735
303,SD,663687,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",306443,1062.0,4.084615
304,SD,663687,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",306443,213.0,1.479167
305,SD,663687,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",306443,2262.0,8.316176
306,SD,663687,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",306443,244.0,2.259259
307,SD,663687,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",306443,102.0,0.392308
308,SD,663687,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",306443,70.0,0.269231
309,SD,663687,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",306443,43.0,0.158088
310,SD,663689,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",294667,265.0,1.019231
311,SD,663700,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",232182,443.0,3.076389
312,SD,663700,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",232182,562.0,5.203704
313,SD,663701,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",232182,22.0,0.152778
314,SD,663701,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",232182,5.0,0.018382
315,SD,663701,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",232182,4192.0,16.123077
316,SD,663701,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",232182,244.0,1.694444
317,SD,663701,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",232182,24.0,0.06366
318,SD,663701,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",232182,86.0,1.075
319,SD,663702,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",361409,300.0,1.153846
320,SD,663702,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",361409,123.0,0.854167
321,SD,663702,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",361409,60.0,0.416667
322,SD,663702,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",361409,27.0,0.25
323,SD,663703,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",280862,4059.0,15.611538
324,SD,663703,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",280862,725.0,2.665441
325,SD,663703,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",280862,706.0,6.537037
326,SD,663704,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",280862,113.0,0.434615
327,SD,663705,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",301161,1820.0,7.0
328,SD,663705,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",301161,100.0,0.265252
329,SD,663706,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",301161,324.0,4.05
330,SD,663714,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",256165,334.0,4.175
331,SD,663719,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",252542,54.0,0.5
332,SD,663719,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",252542,20.0,0.076923
333,SD,663722,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",330853,377.0,1.0
334,SD,663722,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",330853,160.0,2.0
335,SD,663722,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",330853,377.0,1.0
336,SD,663722,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",330853,160.0,2.0
337,SD,663722,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",330853,261.0,0.692308
338,SD,663722,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",330853,80.0,1.0
339,SD,663724,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",232182,247.0,0.95
340,SD,663724,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",232182,156.0,0.6
341,SD,663724,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",232182,83.0,0.305147
342,SD,663724,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",232182,204.0,0.784615
343,SD,663724,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",232182,286.0,1.1
344,SD,663724,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",232182,47.0,0.172794
345,SD,663725,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",286155,29.0,0.076923
346,SD,663726,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",286155,10.0,0.026525
347,SD,663727,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",242389,80.0,1.0
348,SD,663728,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",266980,10.0,0.026525
349,SD,663728,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",266980,8.0,0.1
350,SD,663731,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",286954,50.0,0.192308
351,SD,663731,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",286954,761.0,2.926923
352,SD,663731,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",286954,272.0,1.0
353,SD,663731,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",286954,60.0,0.230769
354,SD,663731,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",286954,144.0,1.0
355,SD,663731,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",286954,144.0,1.0
356,SD,663731,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",286954,216.0,2.0
357,SD,663731,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",286954,100.0,0.384615
358,SD,663731,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",286954,36.0,0.25
359,SD,663731,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",286954,160.0,0.615385
360,SD,663731,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",286954,88.0,0.323529
361,SD,663732,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",286954,35.0,0.134615
362,SD,663733,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",286954,25.0,0.096154
363,SD,663734,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",326701,153.0,0.588462
364,SD,663734,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",326701,573.0,2.203846
365,SD,663734,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",326701,13.0,0.05
