,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
306,242156,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,663769,20.0,0.138889
307,242156,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663769,1000.0,3.846154
308,242156,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663412,24.0,0.166667
309,242156,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663769,600.0,4.166667
310,242156,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,663769,200.0,0.735294
311,242156,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,663769,360.0,3.333333
312,242156,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,663769,200.0,0.769231
313,242156,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663769,300.0,1.153846
314,242156,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,663769,60.0,0.75
315,242156,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,663769,91.0,0.842593
316,242156,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,663769,480.0,1.846154
317,242156,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",SD,663769,67.0,0.8375
318,242156,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,663253,40.0,0.153846
319,330853,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,175878,60.0,1.0
320,330853,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",SD,663722,377.0,1.0
321,330853,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,663722,160.0,2.0
322,330853,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",SD,663722,377.0,1.0
323,330853,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,663722,160.0,2.0
324,330853,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",SD,663722,261.0,0.692308
325,330853,6050100004,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.             ",SD,663722,80.0,1.0
326,232571,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,175697,32.0,0.142857
327,361408,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175863,72.0,1.0
328,361408,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,175863,60.0,1.2
329,260883,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175615,30.0,0.1875
330,260883,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175911,1560.0,26.0
331,260883,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663810,816.0,3.0
332,260883,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,663809,80.0,1.0
333,260883,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,663810,400.0,5.0
334,226806,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175902,1560.0,26.0
335,366063,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",SD,175753,5.0,0.027027
336,366063,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175753,5.0,0.03125
337,366063,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175753,5.0,0.03125
338,282507,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175759,5.0,0.03125
339,282507,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175759,5.0,0.03125
340,282507,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663555,40.0,0.153846
341,280831,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175915,10.0,0.0625
342,280831,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175915,10.0,0.0625
343,280831,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175915,1260.0,21.0
344,280831,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,175915,8.0,0.035714
345,241222,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175781,5.0,0.03125
346,241222,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175781,5.0,0.03125
347,241222,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,175781,16.0,0.071429
348,363993,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",SD,175771,5.0,0.027027
349,363993,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",SD,175771,5.0,0.03125
350,363993,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",SD,175771,5.0,0.03125
351,363993,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,662182,60.0,0.230769
352,363993,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,662759,60.0,0.230769
353,363993,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,663517,36.0,0.25
354,363993,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",SD,663517,5.0,0.013263
