,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
0,SD,174893,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",363993,150.0,3.0
1,SD,175330,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",363993,8.0,0.035714
2,SD,175330,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",363993,8.0,0.035714
3,SD,175330,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",363993,64.0,0.285714
4,SD,175330,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",363993,8.0,0.035714
5,SD,175494,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",334254,420.0,7.0
6,SD,175494,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",334254,96.0,0.428571
7,SD,175495,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",288883,64.0,0.285714
8,SD,175615,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",260883,30.0,0.1875
9,SD,175616,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",225661,30.0,0.162162
10,SD,175616,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",225661,30.0,0.1875
11,SD,175616,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",225661,30.0,0.1875
12,SD,175671,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",241222,216.0,3.0
13,SD,175679,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",366063,100.0,2.0
14,SD,175697,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",232571,32.0,0.142857
15,SD,175713,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",299351,30.0,0.5
16,SD,175713,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",299351,48.0,0.666667
17,SD,175714,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",273866,936.0,13.0
18,SD,175714,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",273866,300.0,6.0
19,SD,175732,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",354625,120.0,2.0
20,SD,175732,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",354625,360.0,5.0
21,SD,175732,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",354625,10.0,0.044643
22,SD,175733,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",274708,30.0,0.133929
23,SD,175742,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",257797,3.0,0.05
24,SD,175743,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",274708,24.0,0.4
25,SD,661181,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,20.0,0.076923
26,SD,661181,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",363993,68.0,0.25
27,SD,661182,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,20.0,0.076923
28,SD,662182,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",363993,60.0,0.230769
29,SD,662182,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",363993,54.0,0.375
30,SD,662182,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",363993,40.0,0.153846
31,SD,662182,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",363993,34.0,0.125
32,SD,662183,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",363993,18.0,0.166667
33,SD,662183,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",363993,18.0,0.125
34,SD,662183,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",363993,520.0,2.0
35,SD,662183,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",363993,288.0,2.0
36,SD,662183,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",363993,108.0,1.0
37,SD,662400,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",311778,16.0,0.2
38,SD,662400,6050100001,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.              ",311778,1.0,0.002653
39,SD,662483,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",331183,43.0,0.165385
40,SD,662759,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",363993,60.0,0.230769
41,SD,662759,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",363993,34.0,0.125
42,SD,662759,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",363993,29.0,0.076923
43,SD,662759,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",363993,1360.0,5.0
44,SD,662759,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",363993,80.0,1.0
45,SD,662759,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",363993,20.0,0.076923
46,SD,662840,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",331183,120.0,0.461538
47,SD,662840,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",331183,10.0,0.038462
48,SD,662841,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",331183,39.0,0.270833
49,SD,662893,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",225596,20.0,0.076923
50,SD,662947,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",363993,216.0,2.0
51,SD,662960,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",319406,40.0,0.153846
52,SD,662960,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",319406,260.0,1.0
53,SD,662962,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",280890,100.0,0.384615
54,SD,663004,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",330921,740.0,2.846154
55,SD,663013,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",232180,200.0,0.769231
56,SD,663129,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",232180,334.0,1.284615
57,SD,663168,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",241189,20.0,0.076923
58,SD,663168,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",241189,18.0,0.166667
59,SD,663168,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",241189,20.0,0.076923
60,SD,663170,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",286155,10.0,0.038462
61,SD,663171,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",286155,260.0,1.0
62,SD,663171,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",286155,72.0,0.5
63,SD,663171,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",286155,54.0,0.5
64,SD,663171,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",286155,20.0,0.076923
65,SD,663177,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",331183,40.0,0.153846
66,SD,663177,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",331183,10.0,0.038462
67,SD,663178,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",245013,18.0,0.166667
68,SD,663179,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",245013,20.0,0.076923
69,SD,663179,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",245013,36.0,0.333333
70,SD,663179,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",245013,20.0,0.076923
71,SD,663180,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",317746,20.0,0.076923
72,SD,663189,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",330919,1000.0,3.846154
73,SD,663189,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",330919,1000.0,3.846154
74,SD,663198,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",268727,19.0,0.050398
75,SD,663243,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",334254,20.0,0.076923
76,SD,663243,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",334254,20.0,0.076923
77,SD,663243,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",334254,26.0,0.095588
78,SD,663243,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",334254,1.0,0.003846
79,SD,663243,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",334254,5.0,0.018382
80,SD,663243,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",334254,520.0,2.0
81,SD,663243,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",334254,1088.0,4.0
82,SD,663243,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",334254,43.0,0.398148
83,SD,663243,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",334254,13.0,0.05
84,SD,663244,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",334254,29.0,0.076923
85,SD,663244,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",334254,16.0,0.2
86,SD,663244,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",334254,72.0,0.9
87,SD,663244,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",334254,29.0,0.076923
88,SD,663245,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",288883,20.0,0.076923
89,SD,663245,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",288883,20.0,0.076923
90,SD,663245,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",288883,36.0,0.25
91,SD,663245,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",288883,34.0,0.125
92,SD,663245,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",288883,18.0,0.166667
93,SD,663245,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",288883,5.0,0.019231
94,SD,663245,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",288883,5.0,0.018382
95,SD,663245,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",288883,520.0,2.0
96,SD,663245,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",288883,180.0,1.25
97,SD,663245,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",288883,272.0,1.0
98,SD,663245,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",288883,32.0,0.296296
99,SD,663245,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",288883,60.0,0.230769
100,SD,663245,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",288883,20.0,0.076923
