,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
0,SD,175330,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",0.035714,8.0
1,SD,175330,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",0.035714,8.0
2,SD,175330,363993,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.285714,64.0
3,SD,175330,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.035714,8.0
4,SD,175615,260883,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.1875,30.0
5,SD,175697,232571,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.142857,32.0
6,SD,175753,366063,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",0.027027,5.0
7,SD,175753,366063,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.03125,5.0
8,SD,175753,366063,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.03125,5.0
9,SD,175759,282507,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.03125,5.0
10,SD,175759,282507,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.03125,5.0
11,SD,175767,273955,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",3.0,180.0
12,SD,175767,273955,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",4.666667,336.0
13,SD,175768,251874,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",10.0,600.0
14,SD,175768,251874,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",10.0,720.0
15,SD,175771,363993,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",0.027027,5.0
16,SD,175771,363993,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.03125,5.0
17,SD,175771,363993,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.03125,5.0
18,SD,175771,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",0.035714,8.0
19,SD,175771,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",0.035714,8.0
20,SD,175771,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.035714,8.0
21,SD,175781,241222,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.03125,5.0
22,SD,175781,241222,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.03125,5.0
23,SD,175781,241222,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.071429,16.0
24,SD,175782,248095,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.03125,5.0
25,SD,175782,248095,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.03125,5.0
26,SD,175782,248095,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.071429,16.0
27,SD,175798,319406,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",4.0,240.0
28,SD,175815,242389,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",0.2,37.0
29,SD,175815,242389,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",0.125,20.0
30,SD,175815,242389,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",0.125,20.0
31,SD,175815,242389,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",12.0,600.0
32,SD,175815,242389,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.142857,32.0
33,SD,175825,225675,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",1.0,60.0
